idx,http_status,ttft_s,total_s,error
1,200,6.643263599999955,40.646813599999405,
2,200,6.643264000000272,40.64762630000041,
3,200,6.642368200000419,40.645182100000056,
4,200,6.642312099999799,40.64731179999944,
5,200,6.642464399999881,40.64647049999985,
6,200,6.642450899999858,40.64701950000017,
7,200,6.642489900000328,40.64615290000074,
8,200,6.642552100000103,40.646942400000626,
9,200,6.6419011999996656,40.64671839999937,
10,200,6.6427795999998125,40.64566939999986,
11,200,6.6420753999991575,40.64610449999964,
12,200,6.641913500000555,40.645630200000596,
13,200,6.6422534000003,40.6457819999996,
14,200,6.641909800000576,40.647155000000566,
15,200,6.642820500000198,40.6467145000006,
16,200,6.6428594999997586,40.64550650000001,
17,200,6.632696900000155,40.64562399999977,
18,200,6.642766900000424,40.646633700000166,
19,200,6.641719199999898,40.644519299999956,
20,200,6.642827800000305,40.645598000000064,
21,200,6.642043699999704,40.64485689999947,
22,200,6.641702599999917,40.6440491000003,
23,200,6.632720200000222,40.64599160000034,
24,200,6.641372000000047,40.646119300000464,
25,200,6.641188100000363,40.64692990000003,
26,200,6.64171720000013,40.64467830000012,
27,200,6.642256299999644,40.64651380000032,
28,200,6.6425005000000965,40.64658380000037,
29,200,6.642481500000031,40.64655279999988,
30,200,6.641700500000297,40.64610150000044,
31,200,6.642139900000075,40.64458240000022,
32,200,6.642396700000063,40.64557480000076,
