idx,http_status,ttft_s,total_s,error
1,200,7.019894199999726,40.97609509999984,
2,200,7.016731199999413,40.97243899999921,
3,200,7.005083999999442,40.97524339999927,
4,200,7.016962499999863,40.97269159999996,
5,200,7.019691699999385,40.97681349999948,
6,200,7.016364799999792,40.97469280000041,
7,200,7.0169456000003265,40.97327700000005,
8,200,7.017877899999803,40.97338000000036,
9,200,7.018245100000058,40.97677759999988,
10,200,7.017666199999439,40.97324549999939,
11,200,7.018041199999971,40.97516369999994,
12,200,7.019352899999831,40.97514219999994,
13,200,7.005164899999727,40.97321800000009,
14,200,7.018149999999878,40.97419880000052,
15,200,7.0183766000000105,40.97717570000077,
16,200,7.018079999999827,40.974523200000476,
17,200,7.01774690000002,40.97714790000009,
18,200,7.017576799999915,40.97593809999944,
19,200,7.017525599999317,40.97549660000004,
20,200,7.0193576000001485,40.973945699999604,
21,200,7.018505000000005,40.97486939999999,
22,200,7.017873899999358,40.97335740000017,
23,200,7.018069900000228,40.9742312999997,
24,200,7.0183129000006375,40.97390710000036,
25,200,7.018539800000326,40.97506650000014,
26,200,7.01713860000018,40.9727471999995,
27,200,7.0185225999994145,40.97330019999936,
28,200,7.016944099999819,40.97250150000036,
29,200,7.0185725000001185,40.97471730000052,
30,200,7.017792999999983,40.97453500000029,
31,200,7.016502800000126,40.97291589999986,
32,200,7.016836599999806,40.97356630000013,
