idx,http_status,ttft_s,total_s,error
1,200,42.61071140000058,75.6436177000005,
2,200,6.99283480000031,40.83466980000048,
3,200,6.992056699999921,40.8348390000001,
4,200,6.992537699999957,40.835959099999855,
5,200,42.60845969999991,75.64247090000026,
6,200,6.991659999999683,40.83191050000005,
7,200,6.993011100000331,40.83790549999958,
8,200,42.60997800000041,75.64355280000018,
9,200,6.992758500000491,40.83477839999978,
10,200,6.99262920000001,40.834231400000135,
11,200,6.99272529999962,40.83686349999971,
12,200,42.608928800000285,75.64243280000028,
13,200,6.9919754000002285,40.83542360000047,
14,200,42.608513300000595,75.64254270000038,
15,200,6.992867199999637,40.83475970000018,
16,200,6.99301639999976,40.83523150000019,
17,200,42.60810390000006,75.6428861000004,
18,200,6.993554799999401,40.83640579999974,
19,200,6.993128300000535,40.837042799999836,
20,200,6.9928991000006135,40.83399499999996,
21,200,6.9937673000004,40.835318800000096,
22,200,6.992904499999895,40.835176200000205,
23,200,6.993379699999423,40.83426220000001,
24,200,42.609001400000125,75.64252190000025,
25,200,6.993439799999578,40.83549529999982,
26,200,6.9926050999993095,40.835108299999774,
27,200,42.60926449999988,75.64286119999997,
28,200,6.993385099999614,40.83366719999958,
29,200,6.992581599999539,40.83549789999961,
30,200,6.993254300000444,40.834106899999824,
31,200,6.9923336000001655,40.83429729999989,
32,200,6.979205100000399,40.8369115000005,
33,200,6.993031899999551,40.83388649999961,
34,200,6.99298490000001,40.83738230000017,
35,200,6.979177399999571,40.83460560000003,
36,200,6.992415699999583,40.83411729999989,
37,200,6.991871199999878,40.835216799999216,
38,200,6.992843800000628,40.83250490000046,
39,200,6.979083199999877,40.83345150000059,
40,200,6.991884899999604,40.83277850000013,
